City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.5322,20.0403,293.26,76,10,9.2,ZA,1679759233
1,punta arenas,-53.15,-70.9167,284.21,54,40,14.92,CL,1679759415
2,kavaratti,10.5669,72.642,300.93,70,91,4.5,IN,1679759416
3,torit,4.4133,32.5678,304.57,37,88,2.85,SS,1679759417
4,pecos,31.4229,-103.4932,288.84,20,0,4.12,US,1679759418
5,yellowknife,62.456,-114.3525,248.46,64,40,3.6,CA,1679759407
6,ixtapa,20.7,-105.2,292.72,68,20,3.09,MX,1679759419
7,ushuaia,-54.8,-68.3,282.94,92,93,2.32,AR,1679759266
8,rikitea,-23.1203,-134.9692,297.6,86,100,4.6,PF,1679759421
9,atuona,-9.8,-139.0333,300.08,75,7,6.62,PF,1679759422
10,nemuro,43.3236,145.575,273.54,83,31,5.67,JP,1679759422
11,zhangzhou,24.5133,117.6556,289.11,96,100,0.78,CN,1679759423
12,caibarien,22.5206,-79.4669,301.77,57,0,4.93,CU,1679759424
13,busselton,-33.65,115.3333,291.78,78,96,6.34,AU,1679759424
14,cayenne,4.9333,-52.3333,303.17,66,75,5.14,GF,1679759425
15,walvis bay,-22.9575,14.5053,298.68,50,0,8.75,NA,1679759426
16,clarksburg,39.2807,-80.3445,294.85,69,100,4.12,US,1679759129
17,fort nelson,58.8053,-122.7002,271.45,95,75,1.03,CA,1679759427
18,gobabis,-22.45,18.9667,301.78,23,38,4.03,NA,1679759428
19,la chapelle-sur-erdre,47.2958,-1.5531,287.0,73,75,5.66,FR,1679759428
20,dikson,73.5069,80.5464,252.9,99,100,3.43,RU,1679759320
21,talnakh,69.4865,88.3972,256.22,91,100,3.03,RU,1679759429
22,kapaa,22.0752,-159.319,297.33,90,75,4.63,US,1679759430
23,bluff,-46.6,168.3333,287.48,66,99,11.64,NZ,1679759430
24,tagab,34.855,69.6492,282.98,85,73,1.33,AF,1679759431
25,dingle,10.9995,122.6711,298.25,86,37,3.47,PH,1679759432
26,tuatapere,-46.1333,167.6833,281.99,88,86,2.18,NZ,1679759433
27,katsuura,35.1333,140.3,287.42,83,100,5.37,JP,1679759434
28,cape town,-33.9258,18.4232,294.47,88,75,6.69,ZA,1679759160
29,bengkulu,-3.8004,102.2655,298.84,88,100,2.63,ID,1679759384
30,vaini,-21.2,-175.2,299.24,94,75,3.6,TO,1679759435
31,kodiak,57.79,-152.4072,276.88,65,75,5.14,US,1679759436
32,bogande,12.9714,-0.1436,311.33,5,66,0.83,BF,1679759437
33,port-gentil,-0.7193,8.7815,303.13,74,40,6.69,GA,1679759437
34,alekseyevsk,57.8406,108.3492,269.32,97,100,2.31,RU,1679759438
35,arraial do cabo,-22.9661,-42.0278,303.13,78,20,6.69,BR,1679759438
36,northam,51.0333,-4.2167,285.16,82,100,6.16,GB,1679759439
37,hilo,19.7297,-155.09,295.53,83,40,3.09,US,1679759439
38,makat,47.6469,53.3463,289.5,34,89,1.14,KZ,1679759439
39,pisco,-13.7,-76.2167,299.83,69,0,3.09,PE,1679759439
40,puerto ayora,-0.7393,-90.3518,303.13,84,42,2.68,EC,1679759440
41,lagoa,39.05,-27.9833,287.14,77,65,8.78,PT,1679759440
42,hobart,-42.8794,147.3294,284.29,84,40,4.12,AU,1679759440
43,tiksi,71.6872,128.8694,250.6,100,37,3.38,RU,1679759441
44,juneau,58.3019,-134.4197,276.05,95,100,2.57,US,1679759357
45,christchurch,-43.5333,172.6333,287.54,88,75,3.6,NZ,1679759437
46,junin,-34.5838,-60.9433,299.2,62,3,3.3,AR,1679759408
47,vila franca do campo,37.7167,-25.4333,288.38,86,100,4.19,PT,1679759442
48,qaanaaq,77.484,-69.3632,251.9,68,7,2.21,GL,1679759442
49,namwala,-15.7504,26.4384,296.44,68,79,2.3,ZM,1679759442
50,ribeira grande,38.5167,-28.7,288.58,77,75,9.83,PT,1679759443
51,adrar,20.5022,-10.0711,306.44,8,79,5.37,MR,1679759443
52,kupang,-10.1667,123.5833,298.52,87,65,2.42,ID,1679759444
53,ballina,-28.8667,153.5667,293.58,91,89,1.13,AU,1679759164
54,port alfred,-33.5906,26.891,294.36,85,79,3.97,ZA,1679759444
55,morros,-9.4467,-46.3003,303.89,48,72,2.24,BR,1679759444
56,provideniya,64.3833,-173.3,262.13,96,100,6.54,RU,1679759445
57,pak chong,14.708,101.4161,300.43,58,4,2.19,TH,1679759445
58,albany,42.6001,-73.9662,276.44,86,100,3.13,US,1679759445
59,maniitsoq,65.4167,-52.9,262.78,75,41,2.06,GL,1679759446
60,sitka,57.0531,-135.33,275.09,93,100,2.57,US,1679759446
61,evensk,61.95,159.2333,255.88,80,100,3.75,RU,1679759446
62,antalaha,-14.9003,50.2788,297.98,90,100,3.51,MG,1679759447
63,nalut,30.3333,10.85,298.08,13,0,4.82,LY,1679759447
64,berbera,10.4396,45.0143,301.92,75,22,4.36,SO,1679759448
65,port-cartier,50.0334,-66.8654,274.27,83,11,0.62,CA,1679759337
66,finnsnes,69.2296,17.9811,269.49,85,47,2.39,NO,1679759174
67,chuy,-33.6971,-53.4616,293.46,95,100,3.69,UY,1679759448
68,torbay,47.6666,-52.7314,274.41,96,100,16.54,CA,1679759448
69,prince rupert,54.3161,-130.3201,276.98,93,75,3.6,CA,1679759209
70,mataura,-46.1927,168.8643,287.3,77,99,1.98,NZ,1679759449
71,spirit river,55.7833,-118.8361,268.39,89,98,1.86,CA,1679759449
72,buala,-8.145,159.5921,298.7,76,67,1.04,SB,1679759405
73,cidreira,-30.1811,-50.2056,299.16,71,67,7.16,BR,1679759450
74,thinadhoo,0.5333,72.9333,300.81,77,11,2.13,MV,1679759450
75,tuktoyaktuk,69.4541,-133.0374,259.15,85,75,4.63,CA,1679759450
76,lavrentiya,65.5833,-171.0,260.31,96,100,5.0,RU,1679759451
77,smithers,54.7804,-127.1743,271.33,74,40,2.06,CA,1679759451
78,balaipungut,1.05,101.2833,296.43,98,99,3.65,ID,1679759451
79,mount gambier,-37.8333,140.7667,283.15,87,93,2.53,AU,1679759452
80,mar del plata,-38.0023,-57.5575,299.17,79,40,2.57,AR,1679759196
81,tacuati,-23.45,-56.5833,306.65,46,58,2.34,PY,1679759452
82,tucuma,-0.1833,-50.05,301.76,68,51,1.51,BR,1679759452
