City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,busselton,-33.65,115.3333,11.65,82,0,4.55,AU,1679859247
1,lompoc,34.6391,-120.4579,17.79,60,0,6.69,US,1679859248
2,zhigansk,66.7697,123.3711,-8.54,94,100,11.5,RU,1679859248
3,tasiilaq,65.6145,-37.6368,-10.91,81,19,1.51,GL,1679859248
4,lagoa,39.05,-27.9833,13.87,86,100,11.74,PT,1679859249
5,mataura,-46.1927,168.8643,13.04,69,99,2.94,NZ,1679859249
6,yellowknife,62.456,-114.3525,-17.47,55,0,1.03,CA,1679859126
7,prince rupert,54.3161,-130.3201,7.05,53,0,1.54,CA,1679859111
8,avdiyivka,48.1399,37.7426,8.87,86,100,3.73,UA,1679859250
9,joao camara,-5.5375,-35.8197,25.78,81,88,4.17,BR,1679859250
10,koygorodok,60.445,50.9968,0.79,99,100,1.18,RU,1679859251
11,ushuaia,-54.8,-68.3,8.81,57,40,7.72,AR,1679859251
12,aklavik,68.2191,-135.0107,-6.0,42,40,3.6,CA,1679859251
13,longyearbyen,78.2186,15.6401,-15.09,72,20,3.09,SJ,1679859252
14,vaini,-21.2,-175.2,25.09,100,100,4.12,TO,1679859252
15,east london,-33.0153,27.9116,18.67,63,99,7.56,ZA,1679859253
16,kaitangata,-46.2817,169.8464,11.26,75,99,3.05,NZ,1679859253
17,albany,42.6001,-73.9662,13.1,35,13,1.34,US,1679859253
18,mar del plata,-38.0023,-57.5575,18.79,63,0,4.12,AR,1679859254
19,saskylakh,71.9167,114.0833,-14.15,96,100,5.1,RU,1679859254
20,narsaq,60.9167,-46.05,3.12,71,100,2.05,GL,1679859254
21,bluff,-46.6,168.3333,13.22,80,100,8.9,NZ,1679859255
22,arraial do cabo,-22.9661,-42.0278,32.98,58,20,8.23,BR,1679859068
23,tabou,4.423,-7.3528,26.76,83,100,3.92,CI,1679859255
24,tuktoyaktuk,69.4541,-133.0374,-13.0,72,75,7.2,CA,1679859256
25,bataipora,-22.2953,-53.2711,26.97,83,99,2.21,BR,1679859256
26,saint-philippe,-21.3585,55.7679,24.77,83,81,5.44,RE,1679859256
27,saint-augustin,51.226,-58.6502,1.25,80,100,3.61,CA,1679859257
28,barrow,71.2906,-156.7887,-3.99,100,75,12.86,US,1679859257
29,wenshang,35.7275,116.4961,6.62,64,2,2.88,CN,1679859258
30,palmer,42.1584,-72.3287,15.18,34,20,7.72,US,1679859258
31,bambous virieux,-20.3428,57.7575,26.14,83,75,5.14,MU,1679859259
32,rikitea,-23.1203,-134.9692,26.06,77,22,4.98,PF,1679859259
33,khasan,42.4308,130.6434,0.69,50,0,2.51,RU,1679859259
34,vasilati,44.2878,26.4475,14.69,66,16,3.04,RO,1679859260
35,trinidad,-14.8333,-64.9,27.99,83,75,3.09,BO,1679859260
36,pandan,14.0453,124.1694,24.68,85,4,2.79,PH,1679859260
37,mwanza,-2.5167,32.9,22.03,83,75,0.0,TZ,1679859261
38,atuona,-9.8,-139.0333,27.15,79,86,6.75,PF,1679859262
39,guadalupe y calvo,26.1,-106.9667,19.23,9,32,5.42,MX,1679859263
40,provideniya,64.3833,-173.3,-5.14,96,100,5.95,RU,1679859263
41,honolulu,21.3069,-157.8583,25.9,73,70,0.89,US,1679859031
42,norman wells,65.282,-126.8329,-7.98,62,20,2.06,CA,1679859264
43,puerto palomas,31.7667,-107.6167,17.72,13,0,7.89,MX,1679859264
44,carnarvon,-24.8667,113.6333,22.73,73,1,7.44,AU,1679859265
45,juneau,58.3019,-134.4197,3.0,82,20,3.6,US,1679859011
46,khatanga,71.9667,102.5,-20.67,98,98,3.07,RU,1679859265
47,kozhevnikovo,56.2589,83.9714,1.05,93,100,4.77,RU,1679859266
48,airai,-8.9266,125.4092,14.88,92,95,0.86,TL,1679859266
49,aboso,5.3617,-1.9473,25.73,82,100,2.35,GH,1679859266
50,noumea,-22.2763,166.4572,26.67,99,34,1.35,NC,1679859007
51,kapaa,22.0752,-159.319,26.18,72,0,5.14,US,1679859267
52,chokurdakh,70.6333,147.9167,-27.3,100,100,3.57,RU,1679859267
53,dikson,73.5069,80.5464,-26.83,100,100,2.23,RU,1679859268
54,clyde river,70.4692,-68.5914,-24.87,77,100,1.03,CA,1679859268
55,gat,31.61,34.7642,15.78,100,0,0.72,IL,1679859270
56,port elizabeth,-33.918,25.5701,16.17,93,75,3.09,ZA,1679859270
57,te anau,-45.4167,167.7167,11.97,92,100,2.84,NZ,1679859271
58,rudbar,30.15,62.6,22.23,20,2,3.13,AF,1679859271
59,hermanus,-34.4187,19.2345,14.89,70,3,7.91,ZA,1679859272
60,pevek,69.7008,170.3133,-18.89,88,100,6.44,RU,1679859272
61,bethel,41.3712,-73.414,16.61,28,0,5.14,US,1679859272
62,severo-kurilsk,50.6789,156.125,-2.37,63,100,2.36,RU,1679859273
63,mattru,7.6244,-11.8332,27.03,67,72,2.9,SL,1679859273
64,lixourion,38.2019,20.4314,15.0,82,20,0.0,GR,1679859273
65,bac lieu,9.285,105.7244,26.23,77,98,2.77,VN,1679859274
66,new norfolk,-42.7826,147.0587,12.73,71,98,0.82,AU,1679859274
67,nemuro,43.3236,145.575,1.2,98,100,11.32,JP,1679859274
68,nanortalik,60.1432,-45.2371,1.43,75,100,1.98,GL,1679859275
69,puerto ayora,-0.7393,-90.3518,31.98,82,100,2.68,EC,1679859275
70,xinxiang,35.3089,113.8672,8.48,57,0,2.66,CN,1679859275
71,amol,36.4696,52.3507,13.4,62,100,0.41,IR,1679859276
72,husavik,66.0449,-17.3389,-5.16,94,100,2.19,IS,1679859276
73,georgetown,5.4112,100.3354,25.97,94,40,2.06,MY,1679859277
74,sur,22.5667,59.5289,24.55,71,0,7.37,OM,1679859277
75,grand-santi,4.25,-54.3833,26.24,87,74,1.72,GF,1679859277
76,kavieng,-2.5744,150.7967,27.65,72,10,6.47,PG,1679859278
77,qaqortoq,60.7167,-46.0333,0.25,73,100,2.4,GL,1679859278
78,sao joao da barra,-21.6403,-41.0511,31.05,81,21,6.73,BR,1679859278
79,castro,-24.7911,-50.0119,22.6,86,75,2.5,BR,1679859279
80,vinh long,10.25,105.9667,23.99,86,8,2.38,VN,1679859279
81,mahebourg,-20.4081,57.7,26.16,83,75,5.14,MU,1679859280
